"player","coach","team","season","price","pos","id"
"Djuricic","Sacc","Bayer Leverdure","2021/2022","37","C",1995
"Lazovic","Sacc","Bayer Leverdure","2021/2022","10","C",236
"Brozovic","Sacc","Bayer Leverdure","2021/2022","14","C",265
"Marin","Sacc","Bayer Leverdure","2021/2022","9","C",4965
"Pulgar","Sacc","Bayer Leverdure","2021/2022","1","C",644
"Zambo Anguissa","Sacc","Bayer Leverdure","2021/2022","1","C",4220
"Hernani","Sacc","Bayer Leverdure","2021/2022","1","C",4423
"Insigne","Sacc","Bayer Leverdure","2021/2022","108","A",409
"Caputo","Sacc","Bayer Leverdure","2021/2022","83","A",2819
"Destro","Sacc","Bayer Leverdure","2021/2022","1","A",472
"Caicedo","Sacc","Bayer Leverdure","2021/2022","17","A",2284
"Keita B.","Sacc","Bayer Leverdure","2021/2022","16","A",345
"Kaio Jorge","Sacc","Bayer Leverdure","2021/2022","1","A",5505
"Maignan","Sacc","Bayer Leverdure","2022/2023","47","P",4312
"Dragowski","Sacc","Bayer Leverdure","2022/2023","1","P",1917
"Tatarusanu","Sacc","Bayer Leverdure","2022/2023","1","P",160
"Bonucci","Sacc","Bayer Leverdure","2022/2023","9","D",286
"Demiral","Sacc","Bayer Leverdure","2022/2023","7","D",4332
"Karsdorp","Sacc","Bayer Leverdure","2022/2023","14","D",2180
"Mari'","Sacc","Bayer Leverdure","2022/2023","2","D",4904
"Cambiaso","Sacc","Bayer Leverdure","2022/2023","3","D",5520
"Mazzocchi","Sacc","Bayer Leverdure","2022/2023","1","D",5481
"De Winter","Sacc","Bayer Leverdure","2022/2023","2","D",5739
"Gatti","Sacc","Bayer Leverdure","2022/2023","1","D",5831
"Barak","Sacc","Bayer Leverdure","2022/2023","25","C",2172
"Zielinski","Sacc","Bayer Leverdure","2022/2023","35","C",152
"Pereyra","Sacc","Bayer Leverdure","2022/2023","30","C",302
"Wijnaldum","Sacc","Bayer Leverdure","2022/2023","5","C",2638
"Sabiri","Sacc","Bayer Leverdure","2022/2023","16","C",5788
"Bennacer","Sacc","Bayer Leverdure","2022/2023","6","C",2818
"Saponara","Sacc","Bayer Leverdure","2022/2023","1","C",150
"Adli","Sacc","Bayer Leverdure","2022/2023","2","C",5875
"Rafael Leao","Sacc","Bayer Leverdure","2022/2023","206","A",4510
"Simeone","Sacc","Bayer Leverdure","2022/2023","3","A",2061
"Raspadori","Sacc","Bayer Leverdure","2022/2023","52","A",4371
"Rebic","Sacc","Bayer Leverdure","2022/2023","20","A",186
"Boga","Sacc","Bayer Leverdure","2022/2023","8","A",2832
"Zirkzee","Sacc","Bayer Leverdure","2022/2023","1","A",5086
"Terracciano","Sacc","Al Bacaro","2023/2024","20","P",2815
"Di Gregorio","Sacc","Al Bacaro","2023/2024","15","P",5876
"Christensen O.","Sacc","Al Bacaro","2023/2024","1","P",6403
"Mario Rui","Sacc","Al Bacaro","2023/2024","7","D",142
"Romagnoli","Sacc","Al Bacaro","2023/2024","7","D",460
"Spinazzola","Sacc","Al Bacaro","2023/2024","11","D",1852
"Mina","Sacc","Al Bacaro","2023/2024","1","D",4210
"N'Dicka","Sacc","Al Bacaro","2023/2024","2","D",4317
"Doig","Sacc","Al Bacaro","2023/2024","9","D",5851
"Carlos Augusto","Sacc","Al Bacaro","2023/2024","11","D",5877
"Pellegrino","Sacc","Al Bacaro","2023/2024","1","D",6460
"Zaccagni","Sacc","Al Bacaro","2023/2024","53","C",632
"Gagliardini","Sacc","Al Bacaro","2023/2024","1","C",801
"Mandragora","Sacc","Al Bacaro","2023/2024","1","C",1933
"Castillejo","Sacc","Al Bacaro","2023/2024","1","C",2692
"Loftus-Cheek","Sacc","Al Bacaro","2023/2024","20","C",4199
"Lobotka","Sacc","Al Bacaro","2023/2024","6","C",4287
"Lopez M.","Sacc","Al Bacaro","2023/2024","1","C",4681
"Samardzic","Sacc","Al Bacaro","2023/2024","32","C",5119
"Milik","Sacc","Al Bacaro","2023/2024","23","A",2012
"Abraham","Sacc","Al Bacaro","2023/2024","1","A",2544
"Vlahovic","Sacc","Al Bacaro","2023/2024","192","A",2841
"Nzola","Sacc","Al Bacaro","2023/2024","30","A",5336
"Okafor","Sacc","Al Bacaro","2023/2024","50","A",6227
"Yildiz","Sacc","Al Bacaro","2023/2024","1","A",6434
"Skorupski","Scalco","Liverplate","2019/2020",NA,"P",133
"Szczesny","Scalco","Liverplate","2019/2020",NA,"P",453
NA,"Scalco","Liverplate","2019/2020",NA,"P",NA
"Lirola","Scalco","Liverplate","2019/2020",NA,"D",2006
"Marusic","Scalco","Liverplate","2019/2020",NA,"D",2188
"Skriniar","Scalco","Liverplate","2019/2020",NA,"D",798
"De Ligt","Scalco","Liverplate","2019/2020",NA,"D",4428
"Di Lorenzo","Scalco","Liverplate","2019/2020",NA,"D",2816
"Aina","Scalco","Liverplate","2019/2020",NA,"D",2865
"Young","Scalco","Liverplate","2019/2020",NA,"D",2707
NA,"Scalco","Liverplate","2019/2020",NA,"D",NA
"Luis Alberto","Scalco","Liverplate","2019/2020",NA,"C",2085
"Kluivert","Scalco","Liverplate","2019/2020",NA,"C",2779
"Freuler","Scalco","Liverplate","2019/2020",NA,"C",788
"Berenguer","Scalco","Liverplate","2019/2020",NA,"C",2205
"Lazzari","Scalco","Liverplate","2019/2020",NA,"C",2263
"Lulic","Scalco","Liverplate","2019/2020",NA,"C",338
"Castro","Scalco","Liverplate","2019/2020",NA,"C",112
"Lazovic","Scalco","Liverplate","2019/2020",NA,"C",236
"Ronaldo","Scalco","Liverplate","2019/2020",NA,"A",2610
"Correa","Scalco","Liverplate","2019/2020",NA,"A",495
"Falco","Scalco","Liverplate","2019/2020",NA,"A",658
"Rigoni","Scalco","Liverplate","2019/2020",NA,"A",2868
"Pandev","Scalco","Liverplate","2019/2020",NA,"A",245
NA,"Scalco","Liverplate","2019/2020",NA,"A",NA
"Meret","Teo","Tettenham","2021/2022","33","P",572
"Ospina","Teo","Tettenham","2021/2022","4","P",2468
"Berisha","Teo","Tettenham","2021/2022","1","P",316
"Gosens","Teo","Tettenham","2021/2022","43","D",2160
"Tomori","Teo","Tettenham","2021/2022","12","D",4751
"Milenkovic","Teo","Tettenham","2021/2022","12","D",2164
"Bastoni S.","Teo","Tettenham","2021/2022","3","D",5332
"Bonifazi","Teo","Tettenham","2021/2022","1","D",2192
"Luiz Felipe","Teo","Tettenham","2021/2022","1","D",2335
"Zortea","Teo","Tettenham","2021/2022","1","D",4433
"Caldara","Teo","Tettenham","2021/2022","1","D",1847
"Mkhitaryan","Teo","Tettenham","2021/2022","53","C",2529
"Kessie","Teo","Tettenham","2021/2022","34","C",NA
"Soriano","Teo","Tettenham","2021/2022","25","C",2625
"Freuler","Teo","Tettenham","2021/2022","20","C",788
"Sigurdsson","Teo","Tettenham","2021/2022","1","C",5501
"Lucas Leiva","Teo","Tettenham","2021/2022","1","C",2209
"Bennacer","Teo","Tettenham","2021/2022","1","C",2818
"Bernardeschi","Teo","Tettenham","2021/2022","1","C",184
"Zapata D.","Teo","Tettenham","2021/2022","142","A",608
"Berardi","Teo","Tettenham","2021/2022","82","A",531
"Barrow","Teo","Tettenham","2021/2022","1","A",2719
"Pavoletti","Teo","Tettenham","2021/2022","4","A",247
"Gabbiadini","Teo","Tettenham","2021/2022","1","A",407
"Mancuso","Teo","Tettenham","2021/2022","16","A",5454
"Berisha","Teo","Tettenham","2022/2023","1","P",316
"Audero","Teo","Tettenham","2022/2023","2","P",761
"Milinkovic-Savic V.","Teo","Tettenham","2022/2023","1","P",2170
"Hernandez T.","Teo","Tettenham","2022/2023","55","D",4292
"Danilo","Teo","Tettenham","2022/2023","11","D",4237
"Faraoni","Teo","Tettenham","2022/2023","17","D",581
"Rodriguez R.","Teo","Tettenham","2022/2023","1","D",2169
"Marusic","Teo","Tettenham","2022/2023","1","D",2188
"Umtiti","Teo","Tettenham","2022/2023","3","D",2583
"Valeri","Teo","Tettenham","2022/2023","1","D",5862
"Ostigard","Teo","Tettenham","2022/2023","1","D",5750
"Chiesa","Teo","Tettenham","2022/2023","14","C",2002
"Frattesi","Teo","Tettenham","2022/2023","17","C",2848
"Zaniolo","Teo","Tettenham","2022/2023","39","C",2766
"Locatelli","Teo","Tettenham","2022/2023","5","C",827
"Messias","Teo","Tettenham","2022/2023","6","C",4970
"Mandragora","Teo","Tettenham","2022/2023","1","C",1933
"Ndombele'","Teo","Tettenham","2022/2023","7","C",4143
"Zurkowski","Teo","Tettenham","2022/2023","1","C",4376
"Vlahovic","Teo","Tettenham","2022/2023","195","A",2841
"Giroud","Teo","Tettenham","2022/2023","80","A",4200
"Origi","Teo","Tettenham","2022/2023","24","A",2466
"Orsolini","Teo","Tettenham","2022/2023","6","A",2167
"Ciofani D.","Teo","Tettenham","2022/2023","1","A",212
"Quagliarella","Teo","Tettenham","2022/2023","1","A",568
"Cragno","Teo","Tettenham","2023/2024","1","P",2178
"Carnesecchi","Teo","Tettenham","2023/2024","18","P",4431
"Ochoa","Teo","Tettenham","2023/2024","10","P",6120
"Juan Jesus","Teo","Tettenham","2023/2024","1","D",256
"Lazzari","Teo","Tettenham","2023/2024","2","D",2263
"Mancini","Teo","Tettenham","2023/2024","5","D",2296
"Hernandez T.","Teo","Tettenham","2023/2024","55","D",4292
"Kyriakopoulos","Teo","Tettenham","2023/2024","1","D",4530
"Vojvoda","Teo","Tettenham","2023/2024","1","D",4994
"Holm","Teo","Tettenham","2023/2024","8","D",5678
"Beukema","Teo","Tettenham","2023/2024","1","D",6202
"Politano","Teo","Tettenham","2023/2024","17","C",536
"Jankto","Teo","Tettenham","2023/2024","1","C",1987
"Orsolini","Teo","Tettenham","2023/2024","40","C",2167
"Barak","Teo","Tettenham","2023/2024","1","C",2172
"Rabiot","Teo","Tettenham","2023/2024","42","C",2379
"Duda","Teo","Tettenham","2023/2024","1","C",4342
"Weah","Teo","Tettenham","2023/2024","5","C",4662
"Mckennie","Teo","Tettenham","2023/2024","1","C",4973
"Caprari","Teo","Tettenham","2023/2024","17","A",1958
"Chiesa","Teo","Tettenham","2023/2024","79","A",2002
"Jovic","Teo","Tettenham","2023/2024","9","A",2438
"Giroud","Teo","Tettenham","2023/2024","110","A",4200
"Lookman","Teo","Tettenham","2023/2024","40","A",4730
"Cheddira","Teo","Tettenham","2023/2024","9","A",6439
"Rui Patricio","Albe","Aston Pirla","2024/2025","1","P",4270
"Carnesecchi","Albe","Aston Pirla","2024/2025","40","P",4431
"Okoye","Albe","Aston Pirla","2024/2025","1","P",6462
"Calabria","Albe","Aston Pirla","2024/2025","1","D",357
"Zampano","Albe","Aston Pirla","2024/2025","1","D",1952
"Sergi Roberto","Albe","Aston Pirla","2024/2025","6","D",4284
"Hernandez T.","Albe","Aston Pirla","2024/2025","46","D",4292
"Emerson Royal","Albe","Aston Pirla","2024/2025","10","D",4816
"Erlic","Albe","Aston Pirla","2024/2025","2","D",4982
"Dodo'","Albe","Aston Pirla","2024/2025","10","D",5885
"Coco","Albe","Aston Pirla","2024/2025","7","D",6642
"Zambo Anguissa","Albe","Aston Pirla","2024/2025","2","C",4220
"Maldini","Albe","Aston Pirla","2024/2025","7","C",4896
"Brescianini","Albe","Aston Pirla","2024/2025","24","C",4947
"Samardzic","Albe","Aston Pirla","2024/2025","50","C",5119
"Aebischer","Albe","Aston Pirla","2024/2025","3","C",5784
"Ferguson","Albe","Aston Pirla","2024/2025","20","C",5858
"Reijnders","Albe","Aston Pirla","2024/2025","21","C",6224
"Conceicao","Albe","Aston Pirla","2024/2025","12","C",6884
"Rebic","Albe","Aston Pirla","2024/2025","1","A",186
"Dia","Albe","Aston Pirla","2024/2025","20","A",5672
"Vitinha O.","Albe","Aston Pirla","2024/2025","1","A",6164
"Yildiz","Albe","Aston Pirla","2024/2025","31","A",6434
"Castro S.","Albe","Aston Pirla","2024/2025","5","A",6572
"Dovbyk","Albe","Aston Pirla","2024/2025","176","A",6675
"Reina","Alby","Zoggiathebest99 Team","2024/2025","1","P",387
"Meret","Alby","Zoggiathebest99 Team","2024/2025","48","P",572
"Caprile","Alby","Zoggiathebest99 Team","2024/2025","1","P",4360
"Biraghi","Alby","Zoggiathebest99 Team","2024/2025","10","D",252
"De Vrij","Alby","Zoggiathebest99 Team","2024/2025","5","D",322
"Zappacosta","Alby","Zoggiathebest99 Team","2024/2025","10","D",554
"N'Dicka","Alby","Zoggiathebest99 Team","2024/2025","1","D",4317
"Bellanova","Alby","Zoggiathebest99 Team","2024/2025","35","D",4887
"Kalulu","Alby","Zoggiathebest99 Team","2024/2025","1","D",4976
"Tavares N.","Alby","Zoggiathebest99 Team","2024/2025","1","D",5620
"Carlos Augusto","Alby","Zoggiathebest99 Team","2024/2025","11","D",5877
"Zielinski","Alby","Zoggiathebest99 Team","2024/2025","32","C",152
"Paredes","Alby","Zoggiathebest99 Team","2024/2025","1","C",468
"Zaccagni","Alby","Zoggiathebest99 Team","2024/2025","60","C",632
"Gyasi","Alby","Zoggiathebest99 Team","2024/2025","3","C",4992
"Thuram K.","Alby","Zoggiathebest99 Team","2024/2025","8","C",5562
"Frendrup","Alby","Zoggiathebest99 Team","2024/2025","7","C",5791
"Fazzini","Alby","Zoggiathebest99 Team","2024/2025","5","C",6010
"Dele-Bashiru","Alby","Zoggiathebest99 Team","2024/2025","3","C",6629
"Belotti","Alby","Zoggiathebest99 Team","2024/2025","13","A",441
"Sanabria","Alby","Zoggiathebest99 Team","2024/2025","5","A",479
"Pinamonti","Alby","Zoggiathebest99 Team","2024/2025","37","A",2038
"Lukaku","Alby","Zoggiathebest99 Team","2024/2025","182","A",2531
"Arnautovic","Alby","Zoggiathebest99 Team","2024/2025","1","A",4268
"Noslin","Alby","Zoggiathebest99 Team","2024/2025","6","A",6556
"Scuffet","Cos","Joe Gage FC","2024/2025","1","P",574
"De Gea","Cos","Joe Gage FC","2024/2025","16","P",2521
"Terracciano","Cos","Joe Gage FC","2024/2025","18","P",2815
"Izzo","Cos","Joe Gage FC","2024/2025","1","D",226
"Pavard","Cos","Joe Gage FC","2024/2025","24","D",4177
"Miranda J.","Cos","Joe Gage FC","2024/2025","6","D",4734
"Ismajli","Cos","Joe Gage FC","2024/2025","1","D",5010
"Holm","Cos","Joe Gage FC","2024/2025","2","D",5678
"Gila","Cos","Joe Gage FC","2024/2025","1","D",5833
"Bijol","Cos","Joe Gage FC","2024/2025","11","D",5847
"Gigot","Cos","Joe Gage FC","2024/2025","2","D",5899
"Mkhitaryan","Cos","Joe Gage FC","2024/2025","20","C",2529
"Guendouzi","Cos","Joe Gage FC","2024/2025","13","C",4186
"Busio","Cos","Joe Gage FC","2024/2025","1","C",5507
"Kone' M.","Cos","Joe Gage FC","2024/2025","1","C",5589
"Vlasic","Cos","Joe Gage FC","2024/2025","14","C",5687
"Adli","Cos","Joe Gage FC","2024/2025","1","C",5875
"Suslov","Cos","Joe Gage FC","2024/2025","8","C",6486
"Richardson","Cos","Joe Gage FC","2024/2025","1","C",6804
"Thuram","Cos","Joe Gage FC","2024/2025","195","A",4871
"Luvumbo","Cos","Joe Gage FC","2024/2025","10","A",5297
"Brenner","Cos","Joe Gage FC","2024/2025","1","A",6213
"Castellanos","Cos","Joe Gage FC","2024/2025","131","A",6226
"Taremi","Cos","Joe Gage FC","2024/2025","18","A",6628
"Tengstedt","Cos","Joe Gage FC","2024/2025","1","A",6801
"Montipo'","Fu","AF Antastica","2024/2025","1","P",4957
"Martinez Jo.","Fu","AF Antastica","2024/2025","6","P",5116
"Svilar","Fu","AF Antastica","2024/2025","33","P",5841
"Acerbi","Fu","AF Antastica","2024/2025","11","D",513
"Darmian","Fu","AF Antastica","2024/2025","14","D",2525
"Lazaro","Fu","AF Antastica","2024/2025","1","D",4385
"Kyriakopoulos","Fu","AF Antastica","2024/2025","1","D",4530
"Tomori","Fu","AF Antastica","2024/2025","8","D",4751
"Mazzocchi","Fu","AF Antastica","2024/2025","1","D",5481
"Olivera","Fu","AF Antastica","2024/2025","1","D",5840
"Valeri","Fu","AF Antastica","2024/2025","1","D",5862
"Badelj","Fu","AF Antastica","2024/2025","1","C",170
"Pellegrini Lo.","Fu","AF Antastica","2024/2025","42","C",530
"Politano","Fu","AF Antastica","2024/2025","26","C",536
"Mandragora","Fu","AF Antastica","2024/2025","1","C",1933
"Zaniolo","Fu","AF Antastica","2024/2025","23","C",2766
"Ilic","Fu","AF Antastica","2024/2025","9","C",5007
"Man","Fu","AF Antastica","2024/2025","46","C",5393
"Ricci S.","Fu","AF Antastica","2024/2025","1","C",5453
"Lapadula","Fu","AF Antastica","2024/2025","1","A",1939
"Scamacca","Fu","AF Antastica","2024/2025","20","A",2137
"Martinez L.","Fu","AF Antastica","2024/2025","232","A",2764
"Piccoli","Fu","AF Antastica","2024/2025","10","A",4359
"Djuric","Fu","AF Antastica","2024/2025","8","A",5471
"Isaksen","Fu","AF Antastica","2024/2025","1","A",6398
"Perin","Gullo","Sambuca Juniors","2024/2025","1","P",218
"Pinsoglio","Gullo","Sambuca Juniors","2024/2025","1","P",1930
"Di Gregorio","Gullo","Sambuca Juniors","2024/2025","50","P",5876
"Romagnoli","Gullo","Sambuca Juniors","2024/2025","7","D",460
"Bani","Gullo","Sambuca Juniors","2024/2025","1","D",2285
"Mancini","Gullo","Sambuca Juniors","2024/2025","11","D",2296
"Bremer","Gullo","Sambuca Juniors","2024/2025","23","D",2788
"Martinez Quarta","Gullo","Sambuca Juniors","2024/2025","11","D",5323
"Godfrey","Gullo","Sambuca Juniors","2024/2025","1","D",5324
"Baschirotto","Gullo","Sambuca Juniors","2024/2025","4","D",5835
"Ehizibue","Gullo","Sambuca Juniors","2024/2025","1","D",6047
"Lazovic","Gullo","Sambuca Juniors","2024/2025","5","C",236
"Frattesi","Gullo","Sambuca Juniors","2024/2025","27","C",2848
"Nicolussi Caviglia","Gullo","Sambuca Juniors","2024/2025","1","C",4349
"McTominay","Gullo","Sambuca Juniors","2024/2025","46","C",4777
"Messias","Gullo","Sambuca Juniors","2024/2025","2","C",4970
"Koopmeiners","Gullo","Sambuca Juniors","2024/2025","56","C",5685
"Baldanzi","Gullo","Sambuca Juniors","2024/2025","1","C",5823
"Lovric","Gullo","Sambuca Juniors","2024/2025","4","C",5850
"Zapata D.","Gullo","Sambuca Juniors","2024/2025","113","A",608
"Cutrone","Gullo","Sambuca Juniors","2024/2025","3","A",2155
"Banda","Gullo","Sambuca Juniors","2024/2025","1","A",6001
"Lucca","Gullo","Sambuca Juniors","2024/2025","15","A",6215
"Retegui","Gullo","Sambuca Juniors","2024/2025","111","A",6228
"Benedyczak","Gullo","Sambuca Juniors","2024/2025","1","A",6667
"Audero","Pape","Fc Scrotone","2024/2025","2","P",761
"Milinkovic-Savic V.","Pape","Fc Scrotone","2024/2025","22","P",2170
"Suzuki","Pape","Fc Scrotone","2024/2025","3","P",6641
"Spinazzola","Pape","Fc Scrotone","2024/2025","22","D",1852
"Gosens","Pape","Fc Scrotone","2024/2025","17","D",2160
"Mina","Pape","Fc Scrotone","2024/2025","2","D",4210
"Parisi","Pape","Fc Scrotone","2024/2025","2","D",5449
"Dumfries","Pape","Fc Scrotone","2024/2025","18","D",5513
"Posch","Pape","Fc Scrotone","2024/2025","4","D",6066
"Idzes","Pape","Fc Scrotone","2024/2025","1","D",6672
"Sosa B.","Pape","Fc Scrotone","2024/2025","2","D",6820
"Duncan","Pape","Fc Scrotone","2024/2025","1","C",526
"Pasalic","Pape","Fc Scrotone","2024/2025","29","C",2077
"Orsolini","Pape","Fc Scrotone","2024/2025","46","C",2167
"Pessina","Pape","Fc Scrotone","2024/2025","13","C",2741
"Da Cunha","Pape","Fc Scrotone","2024/2025","6","C",5559
"Ndoye","Pape","Fc Scrotone","2024/2025","3","C",5564
"Tchaouna","Pape","Fc Scrotone","2024/2025","2","C",5919
"Tete Morente","Pape","Fc Scrotone","2024/2025","1","C",6634
"Dybala","Pape","Fc Scrotone","2024/2025","95","A",309
"Kean","Pape","Fc Scrotone","2024/2025","71","A",2097
"Esposito Se.","Pape","Fc Scrotone","2024/2025","1","A",4463
"Leao","Pape","Fc Scrotone","2024/2025","85","A",4510
"Mosquera","Pape","Fc Scrotone","2024/2025","5","A",6630
"Adams C.","Pape","Fc Scrotone","2024/2025","42","A",6646
"Sportiello","Pasol","Herta Vernello","2024/2025","1","P",4
"Falcone","Pasol","Herta Vernello","2024/2025","1","P",2134
"Maignan","Pasol","Herta Vernello","2024/2025","39","P",4312
"Danilo","Pasol","Herta Vernello","2024/2025","11","D",4237
"Rrahmani","Pasol","Herta Vernello","2024/2025","13","D",4409
"Gallo","Pasol","Herta Vernello","2024/2025","1","D",4502
"Angelino","Pasol","Herta Vernello","2024/2025","7","D",4772
"Cambiaso","Pasol","Herta Vernello","2024/2025","26","D",5520
"Zanoli","Pasol","Herta Vernello","2024/2025","1","D",5527
"Beukema","Pasol","Herta Vernello","2024/2025","1","D",6202
"Dossena","Pasol","Herta Vernello","2024/2025","5","D",6230
"Loftus-Cheek","Pasol","Herta Vernello","2024/2025","31","C",4199
"Zurkowski","Pasol","Herta Vernello","2024/2025","1","C",4376
"Malinovskyi","Pasol","Herta Vernello","2024/2025","9","C",4427
"Fofana Y.","Pasol","Herta Vernello","2024/2025","1","C",4686
"Harroui","Pasol","Herta Vernello","2024/2025","7","C",5688
"Ederson D.s.","Pasol","Herta Vernello","2024/2025","24","C",5792
"Fabbian","Pasol","Herta Vernello","2024/2025","22","C",6206
"Payero","Pasol","Herta Vernello","2024/2025","1","C",6481
"Caprari","Pasol","Herta Vernello","2024/2025","1","A",1958
"Milik","Pasol","Herta Vernello","2024/2025","1","A",2012
"Vlahovic","Pasol","Herta Vernello","2024/2025","228","A",2841
"Soule'","Pasol","Herta Vernello","2024/2025","45","A",5734
"Krstovic","Pasol","Herta Vernello","2024/2025","11","A",6435
"Camarda","Pasol","Herta Vernello","2024/2025","1","A",6519
"Provedel","Ricky","FC Tigrotto","2024/2025","34","P",2814
"Turati","Ricky","FC Tigrotto","2024/2025","1","P",4867
"Mandas","Ricky","FC Tigrotto","2024/2025","1","P",6482
"Luperto","Ricky","FC Tigrotto","2024/2025","5","D",393
"Di Lorenzo","Ricky","FC Tigrotto","2024/2025","37","D",2816
"Zortea","Ricky","FC Tigrotto","2024/2025","1","D",4433
"Vojvoda","Ricky","FC Tigrotto","2024/2025","1","D",4994
"Kossounou","Ricky","FC Tigrotto","2024/2025","9","D",5578
"Hien","Ricky","FC Tigrotto","2024/2025","10","D",6046
"Bisseck","Ricky","FC Tigrotto","2024/2025","4","D",6217
"Dorgu","Ricky","FC Tigrotto","2024/2025","6","D",6257
"Gaetano","Ricky","FC Tigrotto","2024/2025","1","C",4364
"Fagioli","Ricky","FC Tigrotto","2024/2025","1","C",4465
"Strefezza","Ricky","FC Tigrotto","2024/2025","12","C",4486
"Douglas Luiz","Ricky","FC Tigrotto","2024/2025","32","C",4911
"Oristanio","Ricky","FC Tigrotto","2024/2025","2","C",6218
"Folorunsho","Ricky","FC Tigrotto","2024/2025","1","C",6252
"Neres","Ricky","FC Tigrotto","2024/2025","50","C",6831
"Paz N.","Ricky","FC Tigrotto","2024/2025","3","C",6875
"Thauvin","Ricky","FC Tigrotto","2024/2025","13","A",2369
"Gonzalez N.","Ricky","FC Tigrotto","2024/2025","27","A",4179
"Lookman","Ricky","FC Tigrotto","2024/2025","121","A",4730
"Pohjanpalo","Ricky","FC Tigrotto","2024/2025","20","A",5079
"Dallinga","Ricky","FC Tigrotto","2024/2025","67","A",6643
"Bonny","Ricky","FC Tigrotto","2024/2025","20","A",6669
"Sommer","Sacc","Al Bacaro","2024/2025","50","P",2428
"Joronen","Sacc","Al Bacaro","2024/2025","1","P",4425
"Vasquez D.","Sacc","Al Bacaro","2024/2025","1","P",6125
"Cuadrado","Sacc","Al Bacaro","2024/2025","1","D",697
"Bastoni","Sacc","Al Bacaro","2024/2025","25","D",2120
"Varane","Sacc","Al Bacaro","2024/2025","1","D",2602
"Buongiorno","Sacc","Al Bacaro","2024/2025","20","D",2724
"Gabbia","Sacc","Al Bacaro","2024/2025","1","D",4401
"Pavlovic","Sacc","Al Bacaro","2024/2025","11","D",5022
"Ruggeri","Sacc","Al Bacaro","2024/2025","18","D",5354
"Casale","Sacc","Al Bacaro","2024/2025","1","D",5498
"Barella","Sacc","Al Bacaro","2024/2025","40","C",1870
"Pulisic","Sacc","Al Bacaro","2024/2025","62","C",2423
"Castrovilli","Sacc","Al Bacaro","2024/2025","1","C",4377
"Chukwueze","Sacc","Al Bacaro","2024/2025","21","C",4856
"Saelemaekers","Sacc","Al Bacaro","2024/2025","1","C",4892
"Le Fee","Sacc","Al Bacaro","2024/2025","4","C",6299
"Zeroli","Sacc","Al Bacaro","2024/2025","1","C",6524
"Bernabe'","Sacc","Al Bacaro","2024/2025","25","C",6666
"Jovic","Sacc","Al Bacaro","2024/2025","1","A",2438
"Sanchez","Sacc","Al Bacaro","2024/2025","12","A",2475
"Cambiaghi","Sacc","Al Bacaro","2024/2025","1","A",4436
"Osimhen","Sacc","Al Bacaro","2024/2025","2","A",4661
"Kvaratskhelia","Sacc","Al Bacaro","2024/2025","175","A",5839
"Okafor","Sacc","Al Bacaro","2024/2025","7","A",6227
"Skorupski","Teo","Tettenham","2024/2025","16","P",133
"Gollini","Teo","Tettenham","2024/2025","13","P",610
"Ravaglia F.","Teo","Tettenham","2024/2025","1","P",2722
"Dimarco","Teo","Tettenham","2024/2025","46","D",254
"Djimsiti","Teo","Tettenham","2024/2025","1","D",787
"Kolasinac","Teo","Tettenham","2024/2025","4","D",2640
"Vasquez","Teo","Tettenham","2024/2025","6","D",5514
"Pongracic","Teo","Tettenham","2024/2025","3","D",5603
"Gatti","Teo","Tettenham","2024/2025","4","D",5831
"Cabal","Teo","Tettenham","2024/2025","2","D",6039
"Tchatchoua","Teo","Tettenham","2024/2025","1","D",6480
"Freuler","Teo","Tettenham","2024/2025","9","C",788
"El Shaarawy","Teo","Tettenham","2024/2025","4","C",795
"Locatelli","Teo","Tettenham","2024/2025","2","C",827
"Calhanoglu","Teo","Tettenham","2024/2025","65","C",2194
"Weah","Teo","Tettenham","2024/2025","7","C",4662
"Marin","Teo","Tettenham","2024/2025","1","C",4965
"Coulibaly L.","Teo","Tettenham","2024/2025","1","C",5504
"Colpani","Teo","Tettenham","2024/2025","37","C",5878
"Morata","Teo","Tettenham","2024/2025","100","A",313
"Abraham","Teo","Tettenham","2024/2025","8","A",2544
"Colombo","Teo","Tettenham","2024/2025","20","A",4923
"Cancellieri","Teo","Tettenham","2024/2025","1","A",5500
"Gudmundsson A.","Teo","Tettenham","2024/2025","75","A",5800
"De Ketelaere","Teo","Tettenham","2024/2025","65","A",5995
